"Body","Face","Fidelity","Intelligence","Kindness","Senseofhumor","Sensitivity","Sexualskill","Sharedvalues","Wealth","sum","physicalattractiveness","socialattractiveness","sexpartners","politicalorientation_1extremelyliberal_7extremelyconservative","Sex_Female_0_Male1","Age","Relationship_Yes1_No0","CRT1","CRT2","CRT3","CRT4","CRT5","CRT6","crttotal"
50,60,60,60,60,50,10,80,70,0,500,55,45,13,2,0,24,0,1,0,1,0,1,1,4
30,45,95,50,60,55,40,45,60,20,500,37.5,51.25,3,3,0,21,0,1,0,1,0,1,1,4
40,50,70,60,50,60,50,30,50,40,500,45,55,1,2,0,22,0,0,0,0,0,0,0,0
12,50,80,90,50,70,13,25,60,50,500,31,55.75,1,3,0,21,1,1,1,1,1,1,1,6
20,60,90,40,70,80,50,40,30,20,500,40,60,4,2,0,21,0,1,1,1,1,1,1,6
50,60,50,70,70,50,60,50,20,20,500,55,62.5,1,2,1,34,1,1,0,0,0,1,0,2
80,60,50,40,50,30,20,50,20,100,500,70,35,10,1,1,35,1,1,0,0,0,1,1,3
70,70,55,50,55,50,0,60,30,60,500,70,38.75,15,3,1,32,1,0,1,1,1,1,1,5
45,40,70,70,60,80,25,30,50,30,500,42.5,58.75,5,2,0,21,1,0,1,1,1,1,1,5
30,50,100,60,50,50,30,80,30,20,500,40,47.5,5,3,0,22,1,1,1,0,1,1,1,5
40,60,75,50,75,25,50,25,40,60,500,50,50,10,2,0,35,1,0,0,1,1,1,1,4
70,70,100,30,50,40,20,60,40,20,500,70,35,15,3,0,22,0,1,1,1,1,1,1,6
50,70,90,60,70,40,40,60,20,0,500,60,52.5,3,3,0,24,1,1,1,1,1,1,1,6
20,75,85,70,80,60,23,10,70,7,500,47.5,58.25,8,1,0,18,0,1,0,1,0,1,1,4
60,30,50,90,60,20,40,40,55,55,500,45,52.5,10,2,0,21,1,1,0,1,0,1,1,4
20,20,50,100,100,70,100,20,20,0,500,20,92.5,9,1,0,22,0,1,1,1,1,1,1,6
20,50,80,70,60,60,60,70,20,10,500,35,62.5,10,4,0,28,1,0,1,1,1,1,1,5
80,70,60,70,70,60,20,10,50,10,500,75,55,15,2,1,21,0,1,1,1,1,1,1,6
60,80,70,60,40,50,10,80,40,10,500,70,40,10,3,1,18,0,1,0,1,0,1,1,4
