ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone,bu_inperson,bu_text,bu_sm,bu_email,bu_fbstatus,bu_smstatus,bu_image,bu_drift,bu_other,bu_never,dump_phone,dump_inperson,dump_text,Sex,Sexuality,Transgender,Child_Age,Child_Gen,Parent_Metro,Parent_Rent,Household_Size,Parent_Internet,Sexuality2,Child_Gen2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2
752,2.0,10.0,3.0,2.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,4,4,16.0,2,1.0,1.0,5.0,1.0,Something else,Female,No,Metro,Own,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
753,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,6.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
754,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,6.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
755,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,14.0,1,1.0,1.0,3.0,1.0,Straight,Male,No,Metro,Own,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
756,1.0,10.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,1.0,1.0,5.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
757,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,8.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
758,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,3.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
759,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,2.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
760,3.0,1.0,1.0,10.0,10.0,10.0, , , , , , , , , , , , , , , ,2,4,16.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
761,1.0,10.0,3.0,1.0,1.0,5.0, , , , , , , , , , , , , , , ,2,4,15.0,1,1.0,1.0,5.0,0.0,Straight,Male,No,Metro,Own,No,,,,,,,,,,,,,,
762,,,,,,, , , , , , , , , , , , , , , , , ,, ,0.0,1.0,4.0,1.0,,,,Non-metro,Own,Yes,,,,,,,,,,,,,,
763,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0, , , , , , , , , , , , , , , ,-1,-1,17.0,2,0.0,1.0,1.0,1.0,,Female,,Non-metro,Own,Yes,,,,,,,,,,,,,,
764,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
765,,,,,,, , , , , , , , , , , , , , , , , ,, ,0.0,1.0,4.0,1.0,,,,Non-metro,Own,Yes,,,,,,,,,,,,,,
