CaseID,hear_frequency,hear_from_you_frequency,sm_feel_connected,sm_feel_closer,sm_feel_jealous,sm_show_care,sm_different,sm_authentic,sm_escape,sm_too_many,sm_support_rel_end,sm_track,sm_post_support,sm_post_affection,sm_findout_upset,closer_text,argument_resolve_text,sig_other_distracted_phone,text_while_together,breakup_text,breakup_inperson,breakup_phone,breakup_sm_message,breakup_friend,breakup_sm_status,brokenup_phonecall,brokenup_inperson,brokenup_text,brokenup_sm,brokenup_email,brokenup_fb_status,brokenup_sm_status,brokenup_image_post,brokenup_drift,brokenup_other,brokenup_never,beendumped_phone,beendumped_inperson,beendumped_text,beendumped_sm,beendumped_email,beendumped_fb_status,beendumped_sm_status,beendumped_image_post,beendumped_drift,beendumped_other,beendumped_never,large_num_texts,texts_pretending,accessed_mobile,modified_sm,sent_pictures_others,tracked_unknowing,blocked_ex,blocked_flirt,untagged_ex,removed_ex_number,blocked_ex_text,sig_other_checked_internet,sig_other_read_texts,sig_other_remove_ex,sig_other_put_down,sig_other_demand_pw,sig_other_harass_internet,sig_other_internet_sexually,sig_other_rumors_internet,sig_other_threaten_internet
125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126, , , , , , , , , , , , , , , , , , , ,10,9,10,3,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,2,1,2,1,6,6,4,7,8,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,2,2,2,2,2,1,1,1,1,1,3,3,2,3,3,3,2,2,3
128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129,3,3,2,2,3,2,2,3,3,2,2,2,1,1,2,1,1,1,1,1,10,5,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,1,1,2,1,3,3,2,3,3,3,3,3
131, , , , , , , , , , , , , , , , , , , ,5,9,7,4,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
132, , , , , , , , , , , , , , , , , , , ,4,8,6,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
133,2,2,2,2,3,2,2,3,3,2,2,1,1,2,1,1,1,1,1,3,1,2,6,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,2,3,1,1,3,3,3,3,3
135, , , , , , , , , , , , , , , , , , , ,2,10,9,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
136, , , , , , , , , , , , , , , , , , , ,2,10,9,6,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,1,10,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3
141,6,4, , , , , , , , , , , , ,1,1,2,2,2,2,10,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2, , , ,2,2,3,3,3,3,3,3,3,3,3
142,3,3,3,2,4,3,4,2,2,2,2,1,1,1,1,1,2,1,2,1,10,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,3,3,3
143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144, , , , , , , , , , , , , , , , , , , ,5,10,10,5,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
145, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
146,4,4,2,2,4,3,2,2,3,2,3,2,1,2,2,2,2,1,2,7,1,3,9,10,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,2,3,3,1,3,3,3,3,3,3
147,3,3, , , , , , , , , , , , ,1,1,1,1,1,2,10,5,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2, , , ,1,1,1,3,3,2,3,3,1,3,3
148, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
149,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,2,2,2,3,10,5,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
150, , , , , , , , , , , , , , , , , , , ,1,10,5,1,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
151, , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
152, , , , , , , , , , , , , , , , , , , ,3,6,8,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
153, , , , , , , , , , , , , , , , , , , ,5,8,10,1,2,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
155, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
157,1,1,3,3,2,3,3,3,3,3,3,2,2,2,1,1,2,1,1,7,10,9,4,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2,2,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3
158,1,3,2,2,1,2,2,2,2,3,3,2,2,1,1,1,1,2,1,5,10,6,3,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,1,3,3
159, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160, , , , , , , , , , , , , , , , , , , ,1,10,5,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
161,4,2,4,4,4,4,3,3,2,3,2,1,1,2,1,1,1, , ,5,10,8,2,3,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1, , ,1,3,3,2,3,3,3,3,3
163, , , , , , , , , , , , , , , , , , , ,1,10,4,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
